,프로젝트번호,행번,역할,업무명,개발의뢰번호,의뢰자행번,최초일자,최종일자,기간
0,P2018-1020-01,16031001,PM,IB 프로젝트 기획관리,R2018-1020,6228623,2018-02-06,2020-09-30,967 days 00:00:00.000000000
1,P2018-1020-01,06172202,개발자,IB 프로젝트 기획관리,R2018-1020,6228623,2018-02-06,2020-09-30,967 days 00:00:00.000000000
2,P2018-1020-01,08101003,개발자,IB 프로젝트 기획관리,R2018-1020,6228623,2018-02-06,2020-09-30,967 days 00:00:00.000000000
3,P2018-1020-01,18031010,개발자,IB 프로젝트 기획관리,R2018-1020,6228623,2018-02-06,2020-09-30,967 days 00:00:00.000000000
4,P2018-6996-01,06127258,PM,채널-Dex,R2018-6996,6167675,2018-09-20,2020-03-18,545 days 00:00:00.000000000
5,P2018-6996-01,19100345,개발자,채널-Dex,R2018-6996,6167675,2018-09-20,2020-03-18,545 days 00:00:00.000000000
6,P2018-6996-01,06181953,개발자,채널-Dex,R2018-6996,6167675,2018-09-20,2020-03-18,545 days 00:00:00.000000000
7,P2018-6996-01,06141897,개발자,채널-Dex,R2018-6996,6167675,2018-09-20,2020-03-18,545 days 00:00:00.000000000
8,P2018-6996-01,06208444,개발자,채널-Dex,R2018-6996,6167675,2018-09-20,2020-03-18,545 days 00:00:00.000000000
9,P2018-6996-01,06179207,개발자,채널-Dex,R2018-6996,6167675,2018-09-20,2020-03-18,545 days 00:00:00.000000000
10,P2018-6996-01,16101080,개발자,채널-Dex,R2018-6996,6167675,2018-09-20,2020-03-18,545 days 00:00:00.000000000
11,P2018-6996-01,08101566,개발자,채널-Dex,R2018-6996,6167675,2018-09-20,2020-03-18,545 days 00:00:00.000000000
12,P2018-6996-02,06181384,PM,수신-Dex,R2018-6996,6167675,2018-12-07,2020-03-18,467 days 00:00:00.000000000
13,P2018-6996-02,06145299,개발자,수신-Dex,R2018-6996,6167675,2018-12-07,2020-03-18,467 days 00:00:00.000000000
14,P2018-6996-02,18102451,개발자,수신-Dex,R2018-6996,6167675,2018-12-07,2020-03-18,467 days 00:00:00.000000000
15,P2018-6996-02,18200590,개발자,수신-Dex,R2018-6996,6167675,2018-12-07,2020-03-18,467 days 00:00:00.000000000
16,P2018-6996-02,06146023,개발자,수신-Dex,R2018-6996,6167675,2018-12-07,2020-03-18,467 days 00:00:00.000000000
17,P2018-6996-06,18101046,PM,공통-Dex,R2018-6996,6167675,2019-06-03,2020-03-18,289 days 00:00:00.000000000
18,P2018-6996-06,06173240,개발자,공통-Dex,R2018-6996,6167675,2019-06-03,2020-03-18,289 days 00:00:00.000000000
19,P2018-7039-01,06150608,PM,신탁유가증권,R2018-7039,6167942,2018-09-21,2020-07-22,670 days 00:00:00.000000000
20,P2018-7039-01,06224784,개발자,신탁유가증권,R2018-7039,6167942,2018-09-21,2020-07-22,670 days 00:00:00.000000000
21,P2018-7039-01,06166490,개발자,신탁유가증권,R2018-7039,6167942,2018-09-21,2020-07-22,670 days 00:00:00.000000000
22,P2018-7039-01,06219100,개발자,신탁유가증권,R2018-7039,6167942,2018-09-21,2020-07-22,670 days 00:00:00.000000000
23,P2018-7039-01,19100736,개발자,신탁유가증권,R2018-7039,6167942,2018-09-21,2020-07-22,670 days 00:00:00.000000000
24,P2018-7039-01,06182021,개발자,신탁유가증권,R2018-7039,6167942,2018-09-21,2020-07-22,670 days 00:00:00.000000000
25,P2018-7039-02,06169600,PM,신탁,R2018-7039,6167942,2018-10-04,2020-07-28,663 days 00:00:00.000000000
26,P2018-7039-02,19101244,개발자,신탁,R2018-7039,6167942,2018-10-04,2020-07-28,663 days 00:00:00.000000000
27,P2018-7039-04,06148069,PM,수익증권,R2018-7039,6167942,2019-04-25,2020-08-05,468 days 00:00:00.000000000
28,P2018-7039-04,20100159,개발자,수익증권,R2018-7039,6167942,2019-04-25,2020-08-05,468 days 00:00:00.000000000
29,P2018-7039-04,12101702,개발자,수익증권,R2018-7039,6167942,2019-04-25,2020-08-05,468 days 00:00:00.000000000
30,P2018-7039-04,18101798,개발자,수익증권,R2018-7039,6167942,2019-04-25,2020-08-05,468 days 00:00:00.000000000
31,P2018-7039-05,06133819,PM,상품 Factory,R2018-7039,6167942,2019-05-22,2020-07-20,425 days 00:00:00.000000000
32,P2018-7039-06,11121001,PM,UMS,R2018-7039,6167942,2019-07-25,2020-07-20,361 days 00:00:00.000000000
33,P2018-7039-06,18181307,개발자,UMS,R2018-7039,6167942,2019-07-25,2020-07-20,361 days 00:00:00.000000000
34,P2018-7039-07,06173020,PM,ISA,R2018-7039,6167942,2019-09-04,2020-07-20,320 days 00:00:00.000000000
35,P2018-7039-08,06178091,PM,퇴직신탁,R2018-7039,6167942,2019-09-24,2020-07-29,309 days 00:00:00.000000000
36,P2018-7039-09,06215297,PM,실행 및 상환,R2018-7039,6167942,2019-09-26,2020-07-20,298 days 00:00:00.000000000
37,P2018-7039-09,19100450,개발자,실행 및 상환,R2018-7039,6167942,2019-09-26,2020-07-20,298 days 00:00:00.000000000
38,P2018-7039-09,06174670,개발자,실행 및 상환,R2018-7039,6167942,2019-09-26,2020-07-20,298 days 00:00:00.000000000
39,P2018-7039-09,12103195,개발자,실행 및 상환,R2018-7039,6167942,2019-09-26,2020-07-20,298 days 00:00:00.000000000
40,P2018-7039-11,11021020,PM,세무,R2018-7039,6167942,2019-11-04,2020-07-20,259 days 00:00:00.000000000
41,P2018-7039-11,15021006,개발자,세무,R2018-7039,6167942,2019-11-04,2020-07-20,259 days 00:00:00.000000000
42,P2018-7039-14,06126995,PM,AML(자금세탁방지),R2018-7039,6167942,2019-11-21,2020-07-20,242 days 00:00:00.000000000
43,P2018-7039-14,06224490,개발자,AML(자금세탁방지),R2018-7039,6167942,2019-11-21,2020-07-20,242 days 00:00:00.000000000
44,P2018-7039-14,06129307,개발자,AML(자금세탁방지),R2018-7039,6167942,2019-11-21,2020-07-20,242 days 00:00:00.000000000
45,P2018-7039-14,06180035,개발자,AML(자금세탁방지),R2018-7039,6167942,2019-11-21,2020-07-20,242 days 00:00:00.000000000
46,P2018-7039-14,06180949,개발자,AML(자금세탁방지),R2018-7039,6167942,2019-11-21,2020-07-20,242 days 00:00:00.000000000
47,P2018-7039-16,08061008,PM,재산신탁,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
48,P2018-7039-16,18121007,개발자,재산신탁,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
49,P2018-7039-16,02051003,개발자,재산신탁,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
50,P2018-7039-17,06183662,PM,유동성,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
51,P2018-7039-17,06132928,개발자,유동성,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
52,P2018-7039-17,12102600,개발자,유동성,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
53,P2018-7039-17,06169155,개발자,유동성,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
54,P2018-7039-17,19101260,개발자,유동성,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
55,P2018-7039-17,18100953,개발자,유동성,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
56,P2018-7039-17,15101850,개발자,유동성,R2018-7039,6167942,2019-12-02,2020-07-20,231 days 00:00:00.000000000
57,P2018-7039-18,12041045,PM,DS관리회계,R2018-7039,6167942,2019-12-04,2020-07-20,229 days 00:00:00.000000000
58,P2018-7039-19,06220495,PM,고객,R2018-7039,6167942,2019-12-16,2020-07-20,217 days 00:00:00.000000000
59,P2018-7039-19,18200230,개발자,고객,R2018-7039,6167942,2019-12-16,2020-07-20,217 days 00:00:00.000000000
60,P2018-7039-19,16200100,개발자,고객,R2018-7039,6167942,2019-12-16,2020-07-20,217 days 00:00:00.000000000
61,P2018-7039-20,06130860,PM,수수료 징수,R2018-7039,6167942,2019-12-18,2020-07-20,215 days 00:00:00.000000000
62,P2018-7039-21,06217885,PM,R Data Mart,R2018-7039,6167942,2019-12-17,2020-07-20,216 days 00:00:00.000000000
63,P2018-7039-21,19200854,개발자,R Data Mart,R2018-7039,6167942,2019-12-17,2020-07-20,216 days 00:00:00.000000000
64,P2018-7039-22,03041007,PM,개인인터넷뱅킹(DS),R2018-7039,6167942,2019-12-20,2020-07-20,213 days 00:00:00.000000000
65,P2018-7039-22,08011001,개발자,개인인터넷뱅킹(DS),R2018-7039,6167942,2019-12-20,2020-07-20,213 days 00:00:00.000000000
66,P2018-7039-22,19082902,개발자,개인인터넷뱅킹(DS),R2018-7039,6167942,2019-12-20,2020-07-20,213 days 00:00:00.000000000
67,P2018-7039-22,18011018,개발자,개인인터넷뱅킹(DS),R2018-7039,6167942,2019-12-20,2020-07-20,213 days 00:00:00.000000000
68,P2018-7039-22,20021002,개발자,개인인터넷뱅킹(DS),R2018-7039,6167942,2019-12-20,2020-07-20,213 days 00:00:00.000000000
69,P2018-7039-23,06226523,PM,기업인터넷뱅킹,R2018-7039,6167942,2019-12-23,2020-09-07,259 days 00:00:00.000000000
70,P2018-7039-25,11051005,PM,사후관리,R2018-7039,6167942,2020-01-28,2020-07-20,174 days 00:00:00.000000000
71,P2018-7039-25,11071007,개발자,사후관리,R2018-7039,6167942,2020-01-28,2020-07-20,174 days 00:00:00.000000000
